bigcommerce_custom_fields,bigcommerce_custom_fields_0,bigcommerce_images_0,bigcommerce_images_1,bigcommerce_images_2,bigcommerce_images_3,bigcommerce_images_4,bigcommerce_images_5,bigcommerce_images_6,bigcommerce_images_alt_0,bigcommerce_images_alt_1,bigcommerce_variants_0,bigcommerce_variants_1,bigcommerce_variants_2,bigcommerce_variants_3,bigcommerce_variants_4,bigcommerce_variants_5,brand,categories,description,discount,image_link,inventory_level,link,list_price,original_product_id,price,product_code,product_id,quantity,regular_price,reviews_average_score,sale_price,title,total_reviews
"{""custom_field_568fd364349896b05dba3ecac2d54020"": ""Burley""}",,https://cdn11.bigcommerce.com/s-subgyhie6o/products/594/images/1004/Crooner__91121.1756046470.386.513.jpg?c=1,,,,,,,,,"{""variant_id"": ""674"", ""sku"": ""1CDCROB-1O"", ""upc"": """", ""price"": ""4.3500"", ""list_price"": ""4.3500"", ""image_link"": """", ""options"": {""Weight"": ""1 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/crooner-bulk/""}","{""variant_id"": ""675"", ""sku"": ""1CDCROB-2O"", ""upc"": """", ""price"": ""8.4500"", ""list_price"": ""8.4500"", ""image_link"": """", ""options"": {""Weight"": ""2 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/crooner-bulk/""}","{""variant_id"": ""676"", ""sku"": ""1CDCROB-4O"", ""upc"": """", ""price"": ""15.9500"", ""list_price"": ""15.9500"", ""image_link"": """", ""options"": {""Weight"": ""4 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/crooner-bulk/""}","{""variant_id"": ""677"", ""sku"": ""1CDCROB-8O"", ""upc"": """", ""price"": ""29.9500"", ""list_price"": ""29.9500"", ""image_link"": """", ""options"": {""Weight"": ""8 oz""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/crooner-bulk/""}","{""variant_id"": ""678"", ""sku"": ""1CDCROB-16"", ""upc"": """", ""price"": ""55.2500"", ""list_price"": ""55.2500"", ""image_link"": """", ""options"": {""Weight"": ""16 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/crooner-bulk/""}",,Cornell & Diehl,Pipe Tobacco[:ATTR:]Bulk Pipe Tobacco[:ATTR:]Cornell & Diehl (Bulk),,0,https://cdn11.bigcommerce.com/s-subgyhie6o/products/594/images/1004/Crooner__91121.1756046470.386.513.jpg?c=1,15,https://novapipesandtobacco.com/cornell-diehl/crooner-bulk/,4.9500,594,4.9500,1CDCROB,594,1,4.95,0,0,Crooner (Bulk),0
[],,https://cdn11.bigcommerce.com/s-subgyhie6o/products/789/images/1227/Nutty_Irishman__48632.1762984997.386.513.jpg?c=1,,,,,,,,,"{""variant_id"": ""928"", ""sku"": ""1CDNIB-1O"", ""upc"": """", ""price"": ""4.3500"", ""list_price"": ""4.3500"", ""image_link"": """", ""options"": {""Weight"": ""1 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/nutty-irishman-bulk/""}","{""variant_id"": ""929"", ""sku"": ""1CDNIB-2O"", ""upc"": """", ""price"": ""8.4500"", ""list_price"": ""8.4500"", ""image_link"": """", ""options"": {""Weight"": ""2 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/nutty-irishman-bulk/""}","{""variant_id"": ""930"", ""sku"": ""1CDNIB-4O"", ""upc"": """", ""price"": ""15.9500"", ""list_price"": ""15.9500"", ""image_link"": """", ""options"": {""Weight"": ""4 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/nutty-irishman-bulk/""}","{""variant_id"": ""931"", ""sku"": ""1CDNIB-8O"", ""upc"": """", ""price"": ""29.9500"", ""list_price"": ""29.9500"", ""image_link"": """", ""options"": {""Weight"": ""8 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/nutty-irishman-bulk/""}","{""variant_id"": ""932"", ""sku"": ""1CDNIB-16"", ""upc"": """", ""price"": ""55.2500"", ""list_price"": ""55.2500"", ""image_link"": """", ""options"": {""Weight"": ""16 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/nutty-irishman-bulk/""}",,Cornell & Diehl,Pipe Tobacco[:ATTR:]Bulk Pipe Tobacco[:ATTR:]Cornell & Diehl (Bulk),,0,https://cdn11.bigcommerce.com/s-subgyhie6o/products/789/images/1227/Nutty_Irishman__48632.1762984997.386.513.jpg?c=1,2,https://novapipesandtobacco.com/pipe-tobacco/nutty-irishman-bulk/,4.3500,789,4.3500,1CDNIB,789,1,4.35,0,0,Nutty Irishman (Bulk),0
"{""custom_field_568fd364349896b05dba3ecac2d54020"": ""Burley""}",,https://cdn11.bigcommerce.com/s-subgyhie6o/products/923/images/1361/Pegasus__54328.1766437324.386.513.jpg?c=1,,,,,,,,,"{""variant_id"": ""1111"", ""sku"": ""1CDPEGB-1O"", ""upc"": """", ""price"": ""4.3500"", ""list_price"": ""4.3500"", ""image_link"": """", ""options"": {""Weight"": ""1 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/pegasus-bulk/""}","{""variant_id"": ""1112"", ""sku"": ""1CDPEGB-2O"", ""upc"": """", ""price"": ""8.4500"", ""list_price"": ""8.4500"", ""image_link"": """", ""options"": {""Weight"": ""2 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/pegasus-bulk/""}","{""variant_id"": ""1113"", ""sku"": ""1CDPEGB-4O"", ""upc"": """", ""price"": ""15.9500"", ""list_price"": ""15.9500"", ""image_link"": """", ""options"": {""Weight"": ""4 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/pegasus-bulk/""}","{""variant_id"": ""1114"", ""sku"": ""1CDPEGB-8O"", ""upc"": """", ""price"": ""29.9500"", ""list_price"": ""29.9500"", ""image_link"": """", ""options"": {""Weight"": ""8 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/pegasus-bulk/""}","{""variant_id"": ""1115"", ""sku"": ""1CDPEGB-16"", ""upc"": """", ""price"": ""55.2500"", ""list_price"": ""55.2500"", ""image_link"": """", ""options"": {""Weight"": ""16 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/pipe-tobacco/pegasus-bulk/""}",,Cornell & Diehl,Pipe Tobacco[:ATTR:]Bulk Pipe Tobacco[:ATTR:]Cornell & Diehl (Bulk),,0,https://cdn11.bigcommerce.com/s-subgyhie6o/products/923/images/1361/Pegasus__54328.1766437324.386.513.jpg?c=1,5,https://novapipesandtobacco.com/pipe-tobacco/pegasus-bulk/,4.3500,923,4.3500,1CDPEGB,923,1,4.35,0,0,Pegasus (Bulk),0
"{""custom_field_568fd364349896b05dba3ecac2d54020"": ""English""}",,https://cdn11.bigcommerce.com/s-subgyhie6o/products/590/images/1000/Arango_-_Balkan_Supreme__23538.1755982630.386.513.jpg?c=1,,,,,,,,,"{""variant_id"": ""647"", ""sku"": ""1ABSB-1O"", ""upc"": """", ""price"": ""4.2500"", ""list_price"": ""4.2500"", ""image_link"": """", ""options"": {""Weight"": ""1 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/arango/balkan-supreme-bulk/""}","{""variant_id"": ""648"", ""sku"": ""1ABSB-2O"", ""upc"": """", ""price"": ""7.9500"", ""list_price"": ""7.9500"", ""image_link"": """", ""options"": {""Weight"": ""2 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/arango/balkan-supreme-bulk/""}","{""variant_id"": ""649"", ""sku"": ""1ABSB-4O"", ""upc"": """", ""price"": ""15.0900"", ""list_price"": ""15.0900"", ""image_link"": """", ""options"": {""Weight"": ""4 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/arango/balkan-supreme-bulk/""}","{""variant_id"": ""650"", ""sku"": ""1ABSB-8O"", ""upc"": """", ""price"": ""28.1400"", ""list_price"": ""28.1400"", ""image_link"": """", ""options"": {""Weight"": ""8 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/arango/balkan-supreme-bulk/""}","{""variant_id"": ""651"", ""sku"": ""1ABSB-16"", ""upc"": """", ""price"": ""53.4500"", ""list_price"": ""53.4500"", ""image_link"": """", ""options"": {""Weight"": ""16 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/arango/balkan-supreme-bulk/""}",,Arango,Pipe Tobacco[:ATTR:]Bulk Pipe Tobacco[:ATTR:]Arango,,0,https://cdn11.bigcommerce.com/s-subgyhie6o/products/590/images/1000/Arango_-_Balkan_Supreme__23538.1755982630.386.513.jpg?c=1,9,https://novapipesandtobacco.com/arango/balkan-supreme-bulk/,4.5000,590,4.5000,1ABSB,590,1,4.5,0,0,Balkan Supreme (Bulk),0
"{""custom_field_568fd364349896b05dba3ecac2d54020"": ""Virginia""}",,https://cdn11.bigcommerce.com/s-subgyhie6o/products/591/images/1001/PS_Luxury_Twist_Flake__48027.1755983458.386.513.jpg?c=1,,,,,,,,,"{""variant_id"": ""653"", ""sku"": ""1PS402B-1O"", ""upc"": """", ""price"": ""5.9500"", ""list_price"": ""5.9500"", ""image_link"": """", ""options"": {""Weight"": ""1 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/peter-stokkebye/ps402-luxury-twist-flake-bulk/""}","{""variant_id"": ""654"", ""sku"": ""1PS402B-2O"", ""upc"": """", ""price"": ""11.2000"", ""list_price"": ""11.2000"", ""image_link"": """", ""options"": {""Weight"": ""2 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/peter-stokkebye/ps402-luxury-twist-flake-bulk/""}","{""variant_id"": ""655"", ""sku"": ""1PS402B-4O"", ""upc"": """", ""price"": ""21.1500"", ""list_price"": ""21.1500"", ""image_link"": """", ""options"": {""Weight"": ""4 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/peter-stokkebye/ps402-luxury-twist-flake-bulk/""}","{""variant_id"": ""656"", ""sku"": ""1PS402B-8O"", ""upc"": """", ""price"": ""39.4600"", ""list_price"": ""39.4600"", ""image_link"": """", ""options"": {""Weight"": ""8 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/peter-stokkebye/ps402-luxury-twist-flake-bulk/""}","{""variant_id"": ""657"", ""sku"": ""1PS402B-16"", ""upc"": """", ""price"": ""75.5400"", ""list_price"": ""75.5400"", ""image_link"": """", ""options"": {""Weight"": ""16 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/peter-stokkebye/ps402-luxury-twist-flake-bulk/""}","{""variant_id"": ""658"", ""sku"": ""1PS402B-24"", ""upc"": """", ""price"": ""108.6600"", ""list_price"": ""108.6600"", ""image_link"": """", ""options"": {""Weight"": ""24 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/peter-stokkebye/ps402-luxury-twist-flake-bulk/""}",Peter Stokkebye,Pipe Tobacco[:ATTR:]Bulk Pipe Tobacco[:ATTR:]Peter Stokkebye,,0,https://cdn11.bigcommerce.com/s-subgyhie6o/products/591/images/1001/PS_Luxury_Twist_Flake__48027.1755983458.386.513.jpg?c=1,27,https://novapipesandtobacco.com/peter-stokkebye/ps402-luxury-twist-flake-bulk/,5.9500,591,5.9500,1PS402B,591,1,5.95,0,0,PS402 Luxury Twist Flake (Bulk),0
"{""custom_field_568fd364349896b05dba3ecac2d54020"": ""Virginia/Perique""}",,https://cdn11.bigcommerce.com/s-subgyhie6o/products/592/images/1002/PS_Luxury_Navy_Flake__25903.1755992328.386.513.jpg?c=1,,,,,,,,,"{""variant_id"": ""660"", ""sku"": ""1PS400B-1O"", ""upc"": """", ""price"": ""4.8300"", ""list_price"": ""4.8300"", ""image_link"": """", ""options"": {""Weight"": ""1 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/peter-stokkebye/ps400-luxury-navy-flake-bulk/""}","{""variant_id"": ""661"", ""sku"": ""1PS400B-2O"", ""upc"": """", ""price"": ""9.0800"", ""list_price"": ""9.0800"", ""image_link"": """", ""options"": {""Weight"": ""2 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/peter-stokkebye/ps400-luxury-navy-flake-bulk/""}","{""variant_id"": ""662"", ""sku"": ""1PS400B-4O"", ""upc"": """", ""price"": ""17.1500"", ""list_price"": ""17.1500"", ""image_link"": """", ""options"": {""Weight"": ""4 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/peter-stokkebye/ps400-luxury-navy-flake-bulk/""}","{""variant_id"": ""663"", ""sku"": ""1PS400B-8O"", ""upc"": """", ""price"": ""31.9900"", ""list_price"": ""31.9900"", ""image_link"": """", ""options"": {""Weight"": ""8 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/peter-stokkebye/ps400-luxury-navy-flake-bulk/""}","{""variant_id"": ""664"", ""sku"": ""1PS400B-16"", ""upc"": """", ""price"": ""61.2300"", ""list_price"": ""61.2300"", ""image_link"": """", ""options"": {""Weight"": ""16 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/peter-stokkebye/ps400-luxury-navy-flake-bulk/""}","{""variant_id"": ""665"", ""sku"": ""1PS400B-24"", ""upc"": """", ""price"": ""88.0800"", ""list_price"": ""88.0800"", ""image_link"": """", ""options"": {""Weight"": ""24 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/peter-stokkebye/ps400-luxury-navy-flake-bulk/""}",Peter Stokkebye,Pipe Tobacco[:ATTR:]Bulk Pipe Tobacco[:ATTR:]Peter Stokkebye,,0,https://cdn11.bigcommerce.com/s-subgyhie6o/products/592/images/1002/PS_Luxury_Navy_Flake__25903.1755992328.386.513.jpg?c=1,28,https://novapipesandtobacco.com/peter-stokkebye/ps400-luxury-navy-flake-bulk/,4.9500,592,4.9500,1PS400B,592,1,4.95,0,0,PS400 Luxury Navy Flake (Bulk),0
"{""custom_field_568fd364349896b05dba3ecac2d54020"": ""Burley""}",,https://cdn11.bigcommerce.com/s-subgyhie6o/products/586/images/996/Old_Joe_Krantz__52496.1755979162.386.513.jpg?c=1,,,,,,,,,"{""variant_id"": ""623"", ""sku"": ""1CDOJKB-1O"", ""upc"": """", ""price"": ""4.3500"", ""list_price"": ""4.3500"", ""image_link"": """", ""options"": {""Weight"": ""1 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/old-joe-krantz-bulk/""}","{""variant_id"": ""624"", ""sku"": ""1CDOJKB-2O"", ""upc"": """", ""price"": ""8.4500"", ""list_price"": ""8.4500"", ""image_link"": """", ""options"": {""Weight"": ""2 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/old-joe-krantz-bulk/""}","{""variant_id"": ""625"", ""sku"": ""1CDOJKB-4O"", ""upc"": """", ""price"": ""15.9500"", ""list_price"": ""15.9500"", ""image_link"": """", ""options"": {""Weight"": ""4 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/old-joe-krantz-bulk/""}","{""variant_id"": ""626"", ""sku"": ""1CDOJKB-8O"", ""upc"": """", ""price"": ""29.9500"", ""list_price"": ""29.9500"", ""image_link"": """", ""options"": {""Weight"": ""8 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/old-joe-krantz-bulk/""}","{""variant_id"": ""627"", ""sku"": ""1CDOJKB-16"", ""upc"": """", ""price"": ""55.2500"", ""list_price"": ""55.2500"", ""image_link"": """", ""options"": {""Weight"": ""16 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/old-joe-krantz-bulk/""}",,Cornell & Diehl,Pipe Tobacco[:ATTR:]Bulk Pipe Tobacco[:ATTR:]Cornell & Diehl (Bulk),,0,https://cdn11.bigcommerce.com/s-subgyhie6o/products/586/images/996/Old_Joe_Krantz__52496.1755979162.386.513.jpg?c=1,5,https://novapipesandtobacco.com/cornell-diehl/old-joe-krantz-bulk/,4.9500,586,4.9500,1CDOJKB,586,1,4.95,0,0,Old Joe Krantz (Bulk),0
"{""custom_field_568fd364349896b05dba3ecac2d54020"": ""English""}",,https://cdn11.bigcommerce.com/s-subgyhie6o/products/587/images/997/Epiphany__91775.1755979880.386.513.jpg?c=1,,,,,,,,,"{""variant_id"": ""629"", ""sku"": ""1CDEPB-1O"", ""upc"": """", ""price"": ""4.3500"", ""list_price"": ""4.3500"", ""image_link"": """", ""options"": {""Weight"": ""1 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/epiphany-bulk/""}","{""variant_id"": ""630"", ""sku"": ""1CDEPB-2O"", ""upc"": """", ""price"": ""8.4500"", ""list_price"": ""8.4500"", ""image_link"": """", ""options"": {""Weight"": ""2 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/epiphany-bulk/""}","{""variant_id"": ""631"", ""sku"": ""1CDEPB-4O"", ""upc"": """", ""price"": ""15.9500"", ""list_price"": ""15.9500"", ""image_link"": """", ""options"": {""Weight"": ""4 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/epiphany-bulk/""}","{""variant_id"": ""632"", ""sku"": ""1CDEPB-8O"", ""upc"": """", ""price"": ""29.9500"", ""list_price"": ""29.9500"", ""image_link"": """", ""options"": {""Weight"": ""8 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/epiphany-bulk/""}","{""variant_id"": ""633"", ""sku"": ""1CDEPB-16"", ""upc"": """", ""price"": ""55.2500"", ""list_price"": ""55.2500"", ""image_link"": """", ""options"": {""Weight"": ""16 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/epiphany-bulk/""}",,Cornell & Diehl,Pipe Tobacco[:ATTR:]Bulk Pipe Tobacco[:ATTR:]Cornell & Diehl (Bulk),,0,https://cdn11.bigcommerce.com/s-subgyhie6o/products/587/images/997/Epiphany__91775.1755979880.386.513.jpg?c=1,4,https://novapipesandtobacco.com/cornell-diehl/epiphany-bulk/,4.9500,587,4.9500,1CDEPB,587,1,4.95,0,0,Epiphany (Bulk),0
"{""custom_field_568fd364349896b05dba3ecac2d54020"": ""Aromatic""}",,https://cdn11.bigcommerce.com/s-subgyhie6o/products/588/images/998/Autmn_Evening__65476.1755980366.386.513.jpg?c=1,,,,,,,,,"{""variant_id"": ""635"", ""sku"": ""1CDAEB-1O"", ""upc"": """", ""price"": ""4.3500"", ""list_price"": ""4.3500"", ""image_link"": """", ""options"": {""Weight"": ""1 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/autumn-evening-bulk/""}","{""variant_id"": ""636"", ""sku"": ""1CDAEB-2O"", ""upc"": """", ""price"": ""8.4500"", ""list_price"": ""8.4500"", ""image_link"": """", ""options"": {""Weight"": ""2 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/autumn-evening-bulk/""}","{""variant_id"": ""637"", ""sku"": ""1CDAEB-4O"", ""upc"": """", ""price"": ""15.9500"", ""list_price"": ""15.9500"", ""image_link"": """", ""options"": {""Weight"": ""4 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/autumn-evening-bulk/""}","{""variant_id"": ""638"", ""sku"": ""1CDAEB-8O"", ""upc"": """", ""price"": ""29.9500"", ""list_price"": ""29.9500"", ""image_link"": """", ""options"": {""Weight"": ""8 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/autumn-evening-bulk/""}","{""variant_id"": ""639"", ""sku"": ""1CDAEB-16"", ""upc"": """", ""price"": ""55.2500"", ""list_price"": ""55.2500"", ""image_link"": """", ""options"": {""Weight"": ""16 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/autumn-evening-bulk/""}",,Cornell & Diehl,Pipe Tobacco[:ATTR:]Bulk Pipe Tobacco[:ATTR:]Cornell & Diehl (Bulk),,0,https://cdn11.bigcommerce.com/s-subgyhie6o/products/588/images/998/Autmn_Evening__65476.1755980366.386.513.jpg?c=1,1,https://novapipesandtobacco.com/cornell-diehl/autumn-evening-bulk/,4.9500,588,4.9500,1CDAEB,588,1,4.95,0,0,Autumn Evening (Bulk),0
"{""custom_field_568fd364349896b05dba3ecac2d54020"": ""Burley""}",,https://cdn11.bigcommerce.com/s-subgyhie6o/products/589/images/999/Haunted_Bookshop__20741.1755980777.386.513.jpg?c=1,,,,,,,,,"{""variant_id"": ""641"", ""sku"": ""1CDHBB-1O"", ""upc"": """", ""price"": ""4.3500"", ""list_price"": ""4.3500"", ""image_link"": """", ""options"": {""Weight"": ""1 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/haunted-bookshop-bulk/""}","{""variant_id"": ""642"", ""sku"": ""1CDHBB-2O"", ""upc"": """", ""price"": ""8.4500"", ""list_price"": ""8.4500"", ""image_link"": """", ""options"": {""Weight"": ""2 oz.""}, ""available"": ""1"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/haunted-bookshop-bulk/""}","{""variant_id"": ""643"", ""sku"": ""1CDHBB-4O"", ""upc"": """", ""price"": ""15.9500"", ""list_price"": ""15.9500"", ""image_link"": """", ""options"": {""Weight"": ""4 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/haunted-bookshop-bulk/""}","{""variant_id"": ""644"", ""sku"": ""1CDHBB-8O"", ""upc"": """", ""price"": ""29.9500"", ""list_price"": ""29.9500"", ""image_link"": """", ""options"": {""Weight"": ""8 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/haunted-bookshop-bulk/""}","{""variant_id"": ""645"", ""sku"": ""1CDHBB-16"", ""upc"": """", ""price"": ""55.2500"", ""list_price"": ""55.2500"", ""image_link"": """", ""options"": {""Weight"": ""16 oz.""}, ""available"": ""0"", ""link"": ""https://novapipesandtobacco.com/cornell-diehl/haunted-bookshop-bulk/""}",,Cornell & Diehl,Pipe Tobacco[:ATTR:]Bulk Pipe Tobacco[:ATTR:]Cornell & Diehl (Bulk),,0,https://cdn11.bigcommerce.com/s-subgyhie6o/products/589/images/999/Haunted_Bookshop__20741.1755980777.386.513.jpg?c=1,4,https://novapipesandtobacco.com/cornell-diehl/haunted-bookshop-bulk/,4.9500,589,4.9500,1CDHBB,589,1,4.95,0,0,Haunted Bookshop (Bulk),0
