字段名,中文名,含义,填充率,枚举/示例值,数据类型
id,产品编号,系统唯一产品ID,102/102 (100%),"102 个唯一值，如: 1038, 1800, 1925, 2148, 2149...",int
code,产品编码,内部库存编码/SKU,102/102 (100%),"97 个唯一值，如: -, TO30402, TO31406, TO31443, TO31444...",str
name,产品名称,商品全名,102/102 (100%),"102 个唯一值，如: COLTS 果香茉莉 (帶紙), COLTS 清新綠茶 (帶紙), COLTS 清爽薄荷 (帶紙), COLTS 清甜荔枝 (帶紙), COLTS 甜香櫻桃 (帶紙)...",str
category,分类,手卷丝/手卷丝组合,102/102 (100%),手卷丝=单品; 手卷丝组合=套餐,str
brand,品牌,产品品牌名,0/102 (0%),,str
price_usd,美元价格($),美元标价,102/102 (100%),"19 个唯一值，如: 169.88, 175.32, 177.93, 22.24, 4.15...",float
price_rmb,人民币价格(¥),人民币约价,102/102 (100%),"19 个唯一值，如: 1155, 1192, 1210, 151, 28...",int
lineation_price,划线价,原价/对比价，0=无促销,102/102 (100%),0,int
spec,规格,如 40g/pack*1,102/102 (100%),"0.025kg/pack*1, 0.035kg/pack*1, 0.03kg/pack, 0.03kg/pack*1, 0.04kg/pack*1, 0.05kg/pack, 0.05kg/pack*1, 0.15kg/box*1, 003",str
weight_kg,毛重(kg),含包装毛重,98/102 (96%),"0.035 kg/包, 0.036 kg/包, 0.04 kg/包, 0.043 kg/包, 0.05 kg/包, 0.058 kg/包, 0.06, 0.06 kg/包, 0.23 kg/罐, 0.265 kg/罐, 0.58 kg/包",str
category_type,类别,手卷丝,26/102 (25%),"手卷煙, 手卷絲",str
ingredients,成分,烟草成分,27/102 (26%),"18 个唯一值，如: 土耳其煙草、混合煙草, 多種等級維吉尼亞煙草, 弗吉尼亞煙草、白肋煙, 弗吉尼亞煙草、白肋煙、卡文迪什, 弗吉尼亞煙草、白肋煙、卡文迪什（Virginia, Burl...",str
cut,形制,切割方式,37/102 (36%),精細切割=精细丝; 粗切=粗切丝; 絲帶=丝带状; 切片=片状,str
strength,劲道,尼古丁强度,27/102 (26%),溫和=低; 溫和至中等=低中; 中等=中; 中等至濃郁=中高; 濃郁=高,str
blend,调配,调配类型,0/102 (0%),,str
flavor,风味,风味描述,0/102 (0%),,str
total_stock,总库存,总库存数量,102/102 (100%),"75 个唯一值，如: 0, 1003, 1006, 1016, 1045...",int
sales_num,销量,已销售数量,102/102 (100%),"98 个唯一值，如: 1112, 11640, 1175, 1216, 1219...",int
in_stock,是否有货,库存状态,102/102 (100%),True=有货; False=无货,bool
stock_warning,库存预警,低于此数量预警,102/102 (100%),"0, 10, 5",int
subtitle,副标题,促销标签,58/102 (57%),🔥熱銷單品=热销; =无,str
is_multiple,是否多规格,是否有多种规格选项,102/102 (100%),"False, True",bool
image,主图,商品主图URL,102/102 (100%),"101 个唯一值，如: https://picture.pipeuncle.com/, https://picture.pipeuncle.com/, https://picture.pipeuncle.com/, https://pict",str
description,描述,简短描述,0/102 (0%),,str
content_html,详情HTML,商品详情富文本,102/102 (100%),"97 个唯一值，如: <p style=""text-align: start;"">, <p style=""text-align: start;"">, <p style=""text-align: start;"">, <p style=""tex",str
sku_details,SKU明细,各规格库存/价格JSON,102/102 (100%),"90 个唯一值，如: [{""spec"": ""0.025kg/pack*1"", ""p, [{""spec"": ""0.025kg/pack*1"", ""p, [{""spec"": ""0.025kg/pack*1"", ""p, [{""spec"": ""0.",str
price_usd (统计),美元价格统计,$4.15 ~ $177.93,102/102 (100%),中位数 $4.75，均值 $14.16,float
