brand,c20,details,full_title,name,ppm,price_usd,sku,source,weight_g
A&C Petersen,5.82,Family: VirginiaCut: Coins,Escudo Navy Deluxe 50g,Escudo Navy Deluxe,207.9,20.79,003-001-0001,tinned,50
Balkan Sasieni,4.27,Family: EnglishCut: Ribbon,Balkan Sasieni 50g,Balkan Sasieni,152.5,15.25,003-006-0001,tinned,50
Borkum Riff,3.66,Family: AromaticCut: Ribbon,Black Cavendish 1.5oz,Black Cavendish,130.83,10.99,003-536-0001,tinned,42
Borkum Riff,3.66,Family: AromaticCut: Ribbon,Bourbon Whiskey 1.5oz,Bourbon Whiskey,130.83,10.99,003-536-0006,tinned,42
Borkum Riff,3.04,Family: AromaticCut: Ribbon,Bourbon Whiskey 7oz,Bourbon Whiskey,108.56,42.99,003-536-0007,tinned,198
Borkum Riff,3.66,Family: AromaticCut: Ribbon,Cherry Cavendish 1.5oz,Cherry Cavendish,130.83,10.99,003-536-0004,tinned,42
Borkum Riff,3.66,Family: AromaticCut: Ribbon,Cherry Liquor 1.5oz,Cherry Liquor,130.83,10.99,003-536-0005,tinned,42
Borkum Riff,3.66,Family: AromaticCut: Ribbon,Original 1.5oz,Original,130.83,10.99,003-536-0002,tinned,42
Borkum Riff,3.04,Family: AromaticCut: Ribbon,Original 7oz,Original,108.56,42.99,003-536-0008,tinned,198
Capstan,7.11,Family: VirginiaCut: Flake,Flake Blue 1.75oz,Flake Blue,254.08,24.9,003-581-0002,tinned,49
